key,value
# campaign setup: read once at world genesis (core_world)
day_zero_weekday,monday
# the designed start (start canon: 80 residents, 21 yards)
start_population,80
start_households,21
# план района (Райком §9, Эпохи §8).
#
# доля НОРМАЛЬНОГО урожая с ОБРАБОТАННОЙ пашни прошлого года, которую район
# спрашивает. Якорь v4 прежний — 28%, и менялось не число, а то, ОТ ЧЕГО оно
# считается: доля собранного означала «сколько сжал — столько и должен», то
# есть план, который нельзя сорвать. Норма от земли стоит при любой погоде
plan_grain_share_percent,28
#
# доля сдачи, которая считается выполнением. 1.0 — «сдано в полном объёме»,
# прямое чтение «сорванного плана»; ручка есть, чтобы смягчение было правкой
# баланса, а не пересборкой
plan_met_share,1.0
# сколько сорванных подряд складываются в условие «Под суд» (Эпохи §8)
plan_failed_years_to_trial,3
# что год делает с репутацией у райкома, в очках шкалы 0–100.
# ДОПУЩЕНИЕ: Райком §5 называет НАПРАВЛЕНИЯ («растёт: выполнение и
# перевыполнение плана», «падает: срыв плана») и не называет величин
plan_met_reputation,4
plan_failed_reputation,-8
