# the construction subsystem's own knobs (core_construction). The recipes,
# ladders, crews and plots come from unit_types / unit_levels / unit_level_cost.
# demolition costs labour days as this share of the level's build norm:
# noticeably less than building (construction design section 12). ASSUMPTION
# repair (task A5): the share of the level's norm a repair at FULL wear costs,
# the spare parts it eats per game man-day, and the start houses — how many
# years they take from their starting wear to collapse, and the band that wear
# is drawn in. Boss's figures of 2026-09-03; the amortization terms themselves
# live with the build classes in unit_levels.csv
# insulation (unit rules section 16, Epoch I): straw in tonnes and game man-days
# by kind — housing, a unit for livestock, any other heated unit — and the level
# whose finished upgrade takes the insulation off. Boss's figures, parcel 364
key,value
demolition_labor_share,0.25
repair_labor_share,0.30
repair_spare_parts_per_labor_day,0.30
old_house_collapse_years,12
old_house_wear_min,25
old_house_wear_max,75
insulation_housing_straw_t,2
insulation_housing_labor_days,2
insulation_livestock_straw_t,6
insulation_livestock_labor_days,5
insulation_heated_straw_t,3
insulation_heated_labor_days,3
insulation_reset_level,3
