# generated by scripts/event_sites.py — do not edit by hand
# has_site=1: a line somewhere in subprojects/ raises this kind through
# EmitEvent. It does NOT mean the event arrives — a site can sit in a
# branch execution never enters. Counting what actually fired is the rung
# above this one and belongs to whoever runs the world.
# no_emit_reason: non-empty when the header declares the silence deliberate.
kind,has_site,no_emit_reason
kResidentBorn,1,
kResidentDied,1,
kResidentArrived,1,
kResidentLeft,1,
kWedding,1,
kFieldPhaseChanged,1,
kFieldHarvested,1,
kFieldLost,1,
kHerdBorn,1,
kHerdDied,1,
kWalkOff,1,
kDistributionIssued,1,
kRationIssued,1,
kYearClosed,1,
kOrderAccepted,0,the order is still the consumer's own: the sweep announces
kOrderStarted,0,the same reason as kOrderAccepted above: a state the issuer
kOrderDone,1,
kOrderRefused,1,
kOrderCancelled,1,
kUnitPaused,1,
kUnitResumed,1,
kUnitBuilt,1,
kUnitDemolished,1,
kUnitRepaired,1,
kUnitCollapsed,1,
kAppointed,1,
kDismissed,1,
kPostVacated,1,
kHorsesStabled,1,
