# generated from db/design.db — do not edit by hand
# row order within a species is the feeding order:
# staple before reserve, own feed before bought concentrate,
# fodder grain before bread grain, then by nutritional value;
# max_share caps how much of the daily ration one feed may cover;
# work_only: fed on working days only — a horse standing idle lives
# on hay and straw, and oats are the wage for work, not the keep
livestock,resource,reserve,max_share,work_only
cow,hay,0,1,0
cow,silage,0,0.4,0
cow,fodder_beet,0,0.2,0
cow,compound_feed,0,0.3,0
cow,straw,1,0.3,0
sheep,hay,0,1,0
sheep,compound_feed,0,0.3,0
sheep,straw,1,0.3,0
pig,barley,0,0.6,0
pig,oat,0,0.6,0
pig,potato,0,0.6,0
pig,fodder_beet,0,0.3,0
pig,compound_feed,0,1,0
pig,wheat,1,0.5,0
pig,rye,1,0.5,0
pig,buckwheat,1,0.5,0
horse,oat,0,0.5,1
horse,barley,1,0.4,1
horse,compound_feed,0,0.4,1
horse,hay,0,1,0
horse,straw,1,0.2,0
horse,wheat,1,0.3,1
horse,rye,1,0.3,1
horse,buckwheat,1,0.3,1
chicken,barley,0,0.8,0
chicken,oat,0,0.8,0
chicken,compound_feed,0,1,0
chicken,offal,1,0.2,0
chicken,wheat,1,0.8,0
chicken,rye,1,0.8,0
chicken,buckwheat,1,0.8,0
duck,barley,0,0.8,0
duck,oat,0,0.8,0
duck,reed,0,0.5,0
duck,compound_feed,0,1,0
duck,offal,1,0.2,0
duck,wheat,1,0.8,0
duck,rye,1,0.8,0
duck,buckwheat,1,0.8,0
mink,fish,0,1,0
mink,compound_feed,0,0.5,0
mink,offal,1,0.5,0
goat,hay,0,1,0
goat,compound_feed,0,0.3,0
