# generated from db/map.db — do not edit by hand
# metres from the map's SOUTH-WEST corner, x east, y north
# WHERE A ROAD MAY NOT BE LAID (roads stage 7): water (shallows is
# shelf water, not a ford), forest, groves, old orchards, reserves,
# ruins — each a closed polygon as the plan sheets draw it. THE
# FLOODPLAIN IS DIFFERENT: a dirt road and a path may cross it and go
# under the spring flood (roads.md §9, §11a); gravel, asphalt, an
# upgrade and any unit may not. The whole forest and the whole
# grove are refused, not single trees: a STUB the tracer must say
# aloud. Yard plots are not here — the core knows its own units.
# NO SLOPE: heights live in the layer; «no cliff» is a STUB too.
area,kind,seq,x_m,y_m
lake,lake,0,8710.0,12000.0
lake,lake,1,8709.0,11998.0
lake,lake,2,8707.8,11995.7
lake,lake,3,8706.4,11993.1
lake,lake,4,8704.7,11990.2
lake,lake,5,8702.9,11987.1
lake,lake,6,8700.9,11983.8
lake,lake,7,8698.8,11980.3
lake,lake,8,8696.7,11976.7
lake,lake,9,8694.4,11972.8
lake,lake,10,8692.1,11968.9
lake,lake,11,8689.8,11964.8
lake,lake,12,8687.5,11960.6
lake,lake,13,8685.2,11956.4
lake,lake,14,8683.0,11952.1
lake,lake,15,8680.9,11947.7
lake,lake,16,8678.9,11943.3
lake,lake,17,8677.0,11939.0
lake,lake,18,8675.3,11934.6
lake,lake,19,8673.8,11930.3
lake,lake,20,8672.5,11926.0
lake,lake,21,8671.4,11921.9
lake,lake,22,8670.7,11917.8
lake,lake,23,8670.2,11913.8
lake,lake,24,8670.0,11910.0
lake,lake,25,8670.1,11906.2
lake,lake,26,8670.4,11902.4
lake,lake,27,8670.8,11898.6
lake,lake,28,8671.5,11894.8
lake,lake,29,8672.3,11890.9
lake,lake,30,8673.2,11887.0
lake,lake,31,8674.3,11883.1
lake,lake,32,8675.6,11879.3
lake,lake,33,8676.9,11875.4
lake,lake,34,8678.5,11871.5
lake,lake,35,8680.1,11867.6
lake,lake,36,8681.9,11863.8
lake,lake,37,8683.8,11859.9
lake,lake,38,8685.7,11856.1
lake,lake,39,8687.8,11852.3
lake,lake,40,8690.0,11848.5
lake,lake,41,8692.3,11844.8
lake,lake,42,8694.6,11841.1
lake,lake,43,8697.0,11837.4
lake,lake,44,8699.5,11833.8
lake,lake,45,8702.1,11830.3
lake,lake,46,8704.7,11826.8
lake,lake,47,8707.3,11823.4
lake,lake,48,8710.0,11820.0
lake,lake,49,8712.8,11816.7
lake,lake,50,8715.8,11813.5
lake,lake,51,8719.0,11810.4
