# generated from db/map.db — do not edit by hand
# metres from the map's SOUTH-WEST corner, x east, y north
# rivers and brooks as drawn lines, half_w_m = half the channel's
# width at the point. A road crosses the RIVER only at a bridge, a
# dam or a point with mark=ford; a BROOK is fordable anywhere (human,
# 25 September 2026: «Через ручьи есть броды этого достаточно» — the
# rule is a STUB until a brook grows a steep or deep stretch), and
# a stone arch carries the road where the map already has one.
line,kind,seq,x_m,y_m,half_w_m,mark
river,river,0,0.0,4600.0,10.00,
river,river,1,6.5,4603.1,10.03,
river,river,2,14.0,4606.5,10.06,
river,river,3,22.5,4610.2,10.10,
river,river,4,31.9,4614.2,10.15,
river,river,5,42.1,4618.5,10.19,
river,river,6,53.1,4623.1,10.24,
river,river,7,64.7,4628.0,10.29,
river,river,8,76.9,4633.1,10.35,
river,river,9,89.5,4638.4,10.41,
river,river,10,102.6,4644.0,10.46,
river,river,11,116.0,4649.8,10.53,
river,river,12,129.7,4655.8,10.59,
river,river,13,143.5,4662.0,10.65,
river,river,14,157.5,4668.4,10.71,
river,river,15,171.4,4674.9,10.78,
river,river,16,185.3,4681.6,10.84,
river,river,17,199.1,4688.4,10.91,
river,river,18,212.6,4695.3,10.97,
river,river,19,225.8,4702.3,11.03,
river,river,20,238.6,4709.5,11.10,
river,river,21,250.9,4716.7,11.16,
river,river,22,262.7,4724.0,11.22,
river,river,23,273.9,4731.3,11.27,
river,river,24,284.4,4738.7,11.33,
river,river,25,294.4,4746.2,11.38,
river,river,26,304.3,4753.8,11.44,
river,river,27,314.0,4761.5,11.49,
river,river,28,323.6,4769.4,11.55,
river,river,29,333.0,4777.4,11.61,
river,river,30,342.3,4785.6,11.66,
river,river,31,351.5,4793.8,11.72,
river,river,32,360.4,4802.3,11.77,
river,river,33,369.3,4810.8,11.83,
river,river,34,378.0,4819.5,11.89,
river,river,35,386.5,4828.3,11.94,
river,river,36,394.9,4837.3,12.00,
river,river,37,403.2,4846.4,12.06,
river,river,38,411.3,4855.6,12.11,
river,river,39,419.3,4865.0,12.17,
river,river,40,427.1,4874.5,12.23,
river,river,41,434.8,4884.1,12.28,
river,river,42,442.3,4893.9,12.34,
river,river,43,449.7,4903.8,12.39,
river,river,44,456.9,4913.9,12.45,
river,river,45,464.0,4924.1,12.51,
river,river,46,471.0,4934.4,12.56,
river,river,47,477.8,4944.8,12.62,
river,river,48,484.4,4955.4,12.67,
river,river,49,490.8,4966.2,12.72,
river,river,50,497.0,4977.1,12.78,
river,river,51,502.8,4988.3,12.83,
river,river,52,508.4,4999.7,12.87,
river,river,53,513.8,5011.3,12.92,
river,river,54,519.0,5023.0,12.97,
river,river,55,524.0,5034.9,13.02,
river,river,56,528.8,5047.0,13.06,
river,river,57,533.5,5059.1,13.11,
river,river,58,538.0,5071.5,13.15,
river,river,59,542.5,5083.9,13.20,
river,river,60,546.8,5096.4,13.25,
river,river,61,551.1,5109.0,13.30,
river,river,62,555.4,5121.7,13.35,
river,river,63,559.6,5134.4,13.40,
river,river,64,563.8,5147.2,13.46,
river,river,65,568.1,5160.0,13.51,
river,river,66,572.4,5172.9,13.57,
river,river,67,576.7,5185.8,13.63,
river,river,68,581.1,5198.7,13.70,
river,river,69,585.6,5211.5,13.77,
river,river,70,590.3,5224.4,13.84,
river,river,71,595.1,5237.2,13.92,
river,river,72,600.0,5250.0,14.00,
river,river,73,605.0,5262.9,14.09,
river,river,74,609.8,5275.9,14.19,
river,river,75,614.6,5289.2,14.31,
river,river,76,619.3,5302.6,14.43,
river,river,77,624.0,5316.1,14.57,
river,river,78,628.6,5329.8,14.72,
river,river,79,633.2,5343.5,14.87,
river,river,80,637.8,5357.3,15.04,
river,river,81,642.4,5371.2,15.21,
river,river,82,647.1,5385.1,15.39,
river,river,83,651.8,5398.9,15.57,
river,river,84,656.5,5412.7,15.76,
river,river,85,661.4,5426.5,15.95,
river,river,86,666.4,5440.2,16.14,
river,river,87,671.5,5453.8,16.34,
river,river,88,676.7,5467.3,16.54,
river,river,89,682.1,5480.6,16.73,
river,river,90,687.6,5493.7,16.92,
river,river,91,693.4,5506.7,17.11,
river,river,92,699.4,5519.5,17.30,
river,river,93,705.6,5532.0,17.48,
river,river,94,712.0,5544.2,17.66,
river,river,95,718.7,5556.2,17.83,
river,river,96,725.7,5567.8,18.00,
river,river,97,732.9,5579.2,18.16,
river,river,98,740.3,5590.5,18.33,
river,river,99,747.8,5601.6,18.49,
river,river,100,755.5,5612.6,18.66,
river,river,101,763.3,5623.4,18.83,
river,river,102,771.3,5634.0,18.99,
river,river,103,779.5,5644.6,19.16,
river,river,104,787.8,5655.0,19.33,
river,river,105,796.3,5665.2,19.50,
river,river,106,804.9,5675.3,19.66,
river,river,107,813.7,5685.2,19.83,
river,river,108,822.7,5695.0,20.00,
river,river,109,831.8,5704.7,20.17,
river,river,110,841.1,5714.2,20.34,
river,river,111,850.5,5723.5,20.50,
river,river,112,860.1,5732.7,20.67,
river,river,113,869.8,5741.8,20.84,
river,river,114,879.7,5750.7,21.01,
river,river,115,889.8,5759.5,21.17,
river,river,116,900.0,5768.1,21.34,
river,river,117,910.3,5776.6,21.51,
river,river,118,920.9,5784.9,21.67,
river,river,119,931.6,5793.1,21.84,
river,river,120,942.4,5801.1,22.00,
river,river,121,953.5,5808.9,22.17,
river,river,122,964.9,5816.5,22.35,
river,river,123,976.5,5823.9,22.54,
river,river,124,988.5,5831.0,22.74,
river,river,125,1000.7,5837.9,22.95,
river,river,126,1013.1,5844.7,23.17,
river,river,127,1025.7,5851.2,23.39,
river,river,128,1038.4,5857.6,23.61,
river,river,129,1051.4,5863.9,23.83,
river,river,130,1064.5,5870.0,24.06,
river,river,131,1077.6,5876.0,24.28,
river,river,132,1090.9,5881.9,24.49,
river,river,133,1104.3,5887.7,24.70,
river,river,134,1117.7,5893.4,24.90,
river,river,135,1131.1,5899.1,25.09,
river,river,136,1144.6,5904.7,25.26,
river,river,137,1158.0,5910.3,25.42,
river,river,138,1171.4,5915.9,25.57,
river,river,139,1184.8,5921.5,25.69,
river,river,140,1198.1,5927.1,25.80,
river,river,141,1211.2,5932.8,25.89,
river,river,142,1224.3,5938.4,25.95,
river,river,143,1237.2,5944.2,25.99,
river,river,144,1250.0,5950.0,26.00,pool
river,river,145,1262.7,5955.8,25.98,
river,river,146,1275.6,5961.3,25.94,
river,river,147,1288.5,5966.7,25.86,
river,river,148,1301.5,5972.0,25.76,
river,river,149,1314.6,5977.2,25.63,
river,river,150,1327.7,5982.2,25.48,
river,river,151,1340.8,5987.2,25.30,
river,river,152,1354.0,5992.2,25.11,
river,river,153,1367.1,5997.1,24.91,
river,river,154,1380.2,6002.0,24.68,
river,river,155,1393.2,6006.9,24.45,
river,river,156,1406.2,6011.9,24.21,
river,river,157,1419.1,6016.9,23.96,
river,river,158,1432.0,6022.0,23.70,
river,river,159,1444.7,6027.2,23.45,
river,river,160,1457.2,6032.5,23.19,
river,river,161,1469.7,6038.0,22.93,
river,river,162,1481.9,6043.6,22.68,
river,river,163,1494.0,6049.4,22.43,
river,river,164,1505.9,6055.5,22.19,
river,river,165,1517.5,6061.7,21.96,
river,river,166,1529.0,6068.3,21.74,
river,river,167,1540.2,6075.1,21.53,
river,river,168,1551.1,6082.2,21.33,
river,river,169,1561.8,6089.5,21.14,
river,river,170,1572.4,6097.0,20.95,
river,river,171,1582.8,6104.7,20.75,
river,river,172,1593.1,6112.4,20.56,
river,river,173,1603.2,6120.4,20.37,
river,river,174,1613.2,6128.5,20.17,
river,river,175,1623.0,6136.7,19.98,
river,river,176,1632.7,6145.0,19.78,
river,river,177,1642.3,6153.6,19.59,
river,river,178,1651.7,6162.2,19.39,
river,river,179,1660.9,6171.0,19.20,
river,river,180,1670.0,6180.0,19.00,
river,river,181,1679.0,6189.1,18.80,
river,river,182,1687.8,6198.3,18.61,
river,river,183,1696.4,6207.7,18.41,
river,river,184,1705.0,6217.3,18.22,
river,river,185,1713.3,6227.0,18.02,
river,river,186,1721.5,6236.8,17.83,
river,river,187,1729.6,6246.8,17.63,
river,river,188,1737.6,6256.9,17.44,
river,river,189,1745.3,6267.2,17.25,
river,river,190,1753.0,6277.6,17.05,
river,river,191,1760.5,6288.2,16.86,
river,river,192,1767.8,6298.9,16.67,
river,river,193,1774.9,6309.8,16.47,
river,river,194,1781.8,6321.1,16.26,
river,river,195,1788.3,6332.6,16.04,
river,river,196,1794.6,6344.4,15.80,
river,river,197,1800.7,6356.4,15.56,
river,river,198,1806.6,6368.6,15.31,
river,river,199,1812.3,6381.0,15.05,
river,river,200,1817.9,6393.6,14.79,
river,river,201,1823.3,6406.4,14.53,
river,river,202,1828.5,6419.2,14.27,
river,river,203,1833.7,6432.2,14.01,
river,river,204,1838.8,6445.2,13.76,
river,river,205,1843.8,6458.3,13.52,
river,river,206,1848.7,6471.5,13.29,
river,river,207,1853.7,6484.6,13.07,
river,river,208,1858.6,6497.7,12.86,
river,river,209,1863.5,6510.9,12.67,
river,river,210,1868.5,6523.9,12.50,
river,river,211,1873.5,6536.9,12.36,
river,river,212,1878.6,6549.8,12.23,
river,river,213,1883.7,6562.6,12.13,
river,river,214,1889.0,6575.2,12.06,
river,river,215,1894.4,6587.7,12.02,
river,river,216,1900.0,6600.0,12.00,
river,river,217,1905.6,6612.2,12.00,
river,river,218,1911.1,6624.6,12.01,
river,river,219,1916.5,6636.9,12.02,
river,river,220,1921.8,6649.3,12.04,
river,river,221,1927.1,6661.8,12.05,
river,river,222,1932.4,6674.3,12.08,
river,river,223,1937.6,6686.7,12.10,
river,river,224,1942.9,6699.2,12.13,
river,river,225,1948.1,6711.6,12.16,
river,river,226,1953.4,6724.0,12.19,
river,river,227,1958.7,6736.3,12.22,
river,river,228,1964.1,6748.5,12.26,
river,river,229,1969.5,6760.7,12.29,
river,river,230,1975.0,6772.7,12.33,
river,river,231,1980.7,6784.7,12.37,
river,river,232,1986.4,6796.5,12.40,
river,river,233,1992.3,6808.1,12.44,
river,river,234,1998.4,6819.6,12.48,
river,river,235,2004.6,6830.9,12.51,
river,river,236,2011.0,6842.1,12.55,
river,river,237,2017.6,6853.0,12.58,
river,river,238,2024.4,6863.7,12.61,
river,river,239,2031.4,6874.2,12.64,
river,river,240,2038.7,6884.4,12.67,
river,river,241,2046.2,6894.4,12.70,
river,river,242,2053.8,6904.3,12.72,
river,river,243,2061.5,6914.0,12.75,
river,river,244,2069.4,6923.6,12.78,
river,river,245,2077.4,6933.0,12.81,
