# generated from db/design.db — do not edit by hand
# a post is a PLACE a resident holds until dismissed, not the work he is given each morning (posts design, core manual 74)
# min_education is the stage the diploma must reach; an empty min_age means the ordinary working age and nothing special
# single_post=1: the village has room for exactly one of these
# gender: who may hold it at all — the era's own rule, not ours
key,min_education,min_age,max_age,gender,single_post,era,shift
labourer,any,16,,any,0,,workday
team_leader,primary,16,,any,0,,workday
stockman,any,16,,any,0,,workday
milkmaid,any,16,,female,0,,workday
poultry_maid,any,16,,female,0,,workday
herder,any,16,,any,0,,workday
groom,any,16,,any,0,,workday
fur_breeder,any,16,,any,0,,workday
beekeeper,any,16,,any,0,,workday
gardener,any,16,,any,0,,workday
farm_manager,secondary,16,,any,0,,workday
agronomist,vocational,16,,any,0,,workday
zootechnician,vocational,16,,any,0,,workday
vet_assistant,vocational,16,,any,0,,workday
hunter,any,16,,any,0,,workday
artel_fisher,any,16,,any,0,,workday
forest_gatherer,any,14,,any,0,,workday
driver,primary,16,,any,0,,workday
carter,any,16,,any,0,,workday
mechanic,vocational,16,,any,0,,workday
farm_craftsman,any,16,,any,0,,workday
electrician,secondary,16,,any,0,2,workday
construction_technician,vocational,16,,any,0,,workday
crafts_master,any,16,,any,0,,workday
seamstress,any,16,,female,0,3,workday
shoemaker,any,16,,any,0,3,workday
chief_engineer,higher,16,,any,0,,workday
safety_inspector,vocational,16,,any,0,3,workday
timekeeper,secondary,16,,any,0,,workday
clerk_accountant,primary,16,,any,0,,workday
accountant,vocational,16,,any,0,,workday
economist,higher,16,,any,0,,workday
deputy_for_economy,higher,16,,any,0,,workday
storekeeper,primary,16,,any,0,,workday
supply_agent,vocational,16,,any,0,,workday
mts_dispatcher,primary,16,,any,1,,workday
council_secretary,secondary,16,,any,0,,workday
registry_clerk,secondary,16,,any,0,,workday
cook,any,16,,any,0,,workday
food_master,any,16,,any,0,,workday
cook_assistant,any,16,,female,0,,workday
barmaid,any,16,,female,0,,workday
waiter,any,16,,any,0,,workday
stall_seller,any,16,,any,0,,workday
shopkeeper,secondary,16,,female,0,,workday
maid,any,16,,female,0,,workday
bathhouse_keeper,any,16,,any,0,,bath_day
primary_teacher,vocational,16,,any,0,,workday
secondary_teacher,higher,16,,any,0,,workday
labour_teacher,vocational,16,,any,0,,workday
college_lecturer,vocational,16,,any,0,,workday
nursery_teacher,vocational,16,,any,0,,workday
pioneer_leader,any,14,,any,0,,workday
pe_teacher,vocational,16,,any,0,,workday
sports_instructor,vocational,16,,any,0,2,workday
club_manager,vocational,16,,any,0,,workday
circle_leader,secondary,16,,any,0,2,workday
librarian,vocational,16,,any,0,,evening
projectionist,primary,16,,any,0,,workday
feldsher,vocational,16,,any,0,,workday
midwife,vocational,16,,female,0,,workday
nurse,vocational,16,,female,0,,workday
doctor,higher,16,,any,0,,workday
watchman,any,16,,any,0,,night
firefighter,any,16,,any,0,,workday
fire_instructor,secondary,16,,any,0,,workday
nightman,any,16,,any,0,,workday
messenger,any,16,,any,0,,workday
miller,any,16,,any,0,,workday
slaughterman,any,16,,any,0,,workday
