# generated from db/design.db — do not edit by hand
# one row per resource and the unit that keeps it (resources.md, storage)
# a store takes a resource because this row says so, not because some of it already lies there: an empty log pile is still the logs' home
# storage names the kind of store inside the unit, e.g. firewood_yard inside utility_yard
resource,unit,storage
barley,elevator,elevator
barley,food_yard,granary
bicycle,selpo,selpo
bicycle,utility_yard,goods_store
board,utility_yard,goods_store
bottled_gas,utility_yard,goods_store
brick,build_yard,build_yard
buckwheat,elevator,elevator
buckwheat,food_yard,granary
carpet,selpo,selpo
carpet,utility_yard,goods_store
cement,build_yard,build_yard
cement,build_yard,cement_store
clay,clay_pile,clay_pile
cloth,crafts_yard,crafts_store
clothes_midseason,selpo,selpo
clothes_midseason,utility_yard,goods_store
clothes_summer,selpo,selpo
clothes_summer,utility_yard,goods_store
clothes_winter,selpo,selpo
clothes_winter,utility_yard,goods_store
coal,utility_yard,goods_store
compound_feed,food_yard,granary
consumer_goods,selpo,selpo
consumer_goods,utility_yard,goods_store
down,utility_yard,goods_store
dyed_cloth,crafts_yard,crafts_store
dyed_clothes_midseason,selpo,selpo
dyed_clothes_midseason,utility_yard,goods_store
dyed_clothes_summer,selpo,selpo
dyed_clothes_summer,utility_yard,goods_store
dyed_clothes_winter,selpo,selpo
dyed_clothes_winter,utility_yard,goods_store
dyed_leather,crafts_yard,crafts_store
dyed_shoes_midseason,selpo,selpo
dyed_shoes_midseason,utility_yard,goods_store
egg,food_yard,food_store
factory_textile,utility_yard,goods_store
fashion_clothes_midseason,selpo,selpo
fashion_clothes_midseason,utility_yard,goods_store
fashion_clothes_summer,selpo,selpo
fashion_clothes_summer,utility_yard,goods_store
fashion_clothes_winter,selpo,selpo
fashion_clothes_winter,utility_yard,goods_store
fashion_shoes_midseason,selpo,selpo
fashion_shoes_midseason,utility_yard,goods_store
fashion_shoes_summer,selpo,selpo
fashion_shoes_summer,utility_yard,goods_store
fashion_shoes_winter,selpo,selpo
fashion_shoes_winter,utility_yard,goods_store
firewood,utility_yard,firewood_yard
fish,food_yard,icehouse
flax,utility_yard,goods_store
flour,food_yard,granary
forest_forage,food_yard,food_store
fruit,food_yard,food_store
fur_coat,utility_yard,goods_store
furniture_set,selpo,selpo
furniture_set,utility_yard,goods_store
glass,build_yard,build_yard
gravel,build_yard,build_yard
groats,food_yard,granary
grocery,food_yard,food_store
hay,hay_stack,stack
hide,utility_yard,goods_store
honey,food_yard,food_store
hops,utility_yard,goods_store
industrial_equipment,utility_yard,goods_store
insulation,build_yard,build_yard
kerosene,utility_yard,goods_store
leather,crafts_yard,crafts_store
lime,build_yard,build_yard
log,log_pile,log_pile
manure,manure_pile,manure_pile
meat,food_yard,icehouse
milk,food_yard,icehouse
milk,food_yard,cold_room
mineral_fertilizer,utility_yard,goods_store
mink_pelt,utility_yard,goods_store
motor_fuel,mts,mts_fuel
motor_fuel,utility_yard,fuel_point
oat,elevator,elevator
oat,food_yard,granary
offal,food_yard,icehouse
paint,crafts_yard,crafts_store
pea,elevator,elevator
pea,food_yard,granary
potato,food_yard,food_store
radio,selpo,selpo
radio,utility_yard,goods_store
reed,hay_stack,stack
refrigerator,selpo,selpo
refrigerator,utility_yard,goods_store
reinforced_concrete,build_yard,build_yard
roofing,build_yard,build_yard
rye,elevator,elevator
rye,food_yard,granary
sand,build_yard,build_yard
sausage,food_yard,food_store
school_uniform,utility_yard,goods_store
shoes_midseason,selpo,selpo
shoes_midseason,utility_yard,goods_store
shoes_summer,selpo,selpo
shoes_summer,utility_yard,goods_store
shoes_winter,selpo,selpo
shoes_winter,utility_yard,goods_store
silage,silage_tower,silo_tower
silage,silage_trench,trench
smoked_fish,food_yard,food_store
smoked_meat,food_yard,food_store
spare_part,mts,mts_parts
spare_part,utility_yard,goods_store
steel,build_yard,build_yard
steel,utility_yard,goods_store
stone,stone_pile,stone_pile
straw,hay_stack,stack
television,selpo,selpo
television,utility_yard,goods_store
tool,utility_yard,goods_store
vegetables,food_yard,food_store
washing_machine,selpo,selpo
washing_machine,utility_yard,goods_store
watch,selpo,selpo
watch,utility_yard,goods_store
wheat,elevator,elevator
wheat,food_yard,granary
woodwork,utility_yard,goods_store
wool,utility_yard,goods_store
