# generated from db/map.db — do not edit by hand
# metres from the map's SOUTH-WEST corner, x east, y north
# THE DRAWN LINE, not the database waypoints, and that is the whole
# point: the core measures road access against the line the player
# SEES, and the sheets and the layer draw this same smoothing. A road
# the core believes is ten metres from where it is drawn refuses a
# building the player can see standing on the verge.
# kind=path is NOT road access (unit rules §12): a cart does not pass.
# the first column is `road` and not `key`: one road is many rows, and
# to the core's loader a column named `key` means one row per entity.
# THIS IS THE SEED, NOT THE WHOLE SUBJECT. Roads that come with the
# map live here; roads the player lays are the core's own and live in
# the save. This file never grows by play.
road,kind,removable,seq,node,x_m,y_m,mark
ford_track,road,0,0,1,7724.8,9920.1,junction_south
ford_track,road,0,1,0,7723.4,9920.7,
ford_track,road,0,2,0,7721.7,9921.4,
ford_track,road,0,3,0,7720.0,9922.1,
ford_track,road,0,4,0,7718.0,9922.8,
ford_track,road,0,5,0,7716.0,9923.5,
ford_track,road,0,6,0,7713.7,9924.3,
ford_track,road,0,7,0,7711.4,9925.1,
ford_track,road,0,8,0,7708.9,9926.0,
ford_track,road,0,9,0,7706.4,9926.9,
ford_track,road,0,10,0,7703.7,9927.9,
ford_track,road,0,11,0,7700.9,9928.9,
ford_track,road,0,12,0,7698.0,9930.1,
ford_track,road,0,13,0,7695.1,9931.2,
ford_track,road,0,14,0,7692.1,9932.5,
ford_track,road,0,15,0,7689.0,9933.8,
ford_track,road,0,16,0,7685.9,9935.2,
ford_track,road,0,17,0,7682.7,9936.7,
ford_track,road,0,18,0,7679.5,9938.3,
ford_track,road,0,19,0,7676.3,9940.0,
ford_track,road,0,20,0,7673.0,9941.8,
ford_track,road,0,21,0,7669.7,9943.7,
ford_track,road,0,22,0,7666.5,9945.7,
ford_track,road,0,23,0,7663.2,9947.8,
ford_track,road,0,24,1,7660.0,9950.0,
ford_track,road,0,25,0,7656.7,9952.4,
ford_track,road,0,26,0,7653.3,9954.9,
ford_track,road,0,27,0,7649.7,9957.5,
ford_track,road,0,28,0,7646.0,9960.3,
ford_track,road,0,29,0,7642.2,9963.2,
ford_track,road,0,30,0,7638.3,9966.2,
ford_track,road,0,31,0,7634.4,9969.4,
ford_track,road,0,32,0,7630.4,9972.6,
ford_track,road,0,33,0,7626.3,9975.9,
ford_track,road,0,34,0,7622.3,9979.3,
