# generated from db/design.db — do not edit by hand
# the hand-designed start: metres from the map's SOUTH-WEST corner, never negative (core_common/geometry.h)
# both where a thing stands and how much land it covers are measured off db/map.db: the size of a contour is a property of the contour, and a second copy of it had already drifted once
# kind unit: unit_type is the registry key, area and rotation empty
# kind field/meadow: area_ha is set, unit_type empty; an empty rotation slot is a fallow year
# is_derelict: land that has rested and waits to be raised, not ploughed fallow
# meadow_kind: upland or floodplain, and the yield comes from meadow_kinds.csv. Empty on anything that is not a meadow
# start_wear_pct: how worn the thing is on the first morning; -1 means «as built». The old houses keep their own 25..75 spread in the core (start.md §4) -- this column carries the inherited yard, the killed church and the wrecked mill, which the design had only in prose
# start_dead: the unit stands and does not work at all until it is restored. This is NOT wear -- wear never stops anything -- so a start placement that has to be dead needs a state of its own. Only the start layout sets it, and nothing in play sets it back
key,kind,unit_type,x_m,y_m,area_ha,rotation_year0,rotation_year1,rotation_year2,is_derelict,meadow_kind,fill_pct,start_wear_pct,start_dead
build_yard,unit,build_yard,7560,9200,,,,,0,,-1,40,0
cattle_yard,unit,cattle_yard,7801.8,9015.4,,,,,0,,-1,55,0
church_store,unit,church_store,9250,9330,,,,,0,,-1,70,0
clay_pile,unit,clay_pile,7380,8560,,,,,0,,-1,-1,0
field_barley,field,,9501.2,9924.3,7.5,barley,pea,wheat_spring,0,,-1,-1,0
field_barley_north,field,,9551.2,8846.8,3.5,barley,cabbage,barley,0,,-1,-1,0
field_cabbage,field,,9551.2,8671.8,3.5,cabbage,oat,cabbage,0,,-1,-1,0
field_derelict_1,field,,8626.2,8509.3,45,,,,1,,-1,-1,0
field_derelict_2,field,,8626.2,8209.3,45,,,,1,,-1,-1,0
field_fallow,field,,8088.7,8894.3,3.5,,rye_winter,oat,0,,-1,-1,0
field_grass,field,,9376.2,9134.3,10.5,timothy,timothy,rye_winter,0,,-1,-1,0
field_oat,field,,8626.2,9634.3,10.5,oat,potato,barley,0,,-1,-1,0
field_oat_north,field,,9226.2,10021.8,7,oat,barley,oat,0,,-1,-1,0
field_potato,field,,9226.2,9759.3,14,potato,wheat_spring,potato,0,,-1,-1,0
field_wheat,field,,8800,10475,10,wheat_spring,timothy,timothy,0,,-1,-1,0
hay_stack,unit,hay_stack,7760,8880,,,,,0,,-1,-1,0
log_pile,unit,log_pile,7400,9060,,,,,0,,-1,-1,0
manor_ruins,unit,manor_ruins,9480,9640,,,,,0,,-1,-1,0
manure_pile,unit,manure_pile,8185.7,8964.7,,,,,0,,-1,-1,0
meadow_01,meadow,,8476.2,9909.3,20,,,,0,floodplain,-1,-1,0
meadow_02,meadow,,7676.2,8509.3,20,,,,0,upland,-1,-1,0
meadow_03,meadow,,9871.2,8759.3,20,,,,0,upland,-1,-1,0
meadow_04,meadow,,6826.2,9409.3,20,,,,0,floodplain,-1,-1,0
meadow_05,meadow,,8626.2,7959.3,20,,,,0,upland,-1,-1,0
stone_pile,unit,stone_pile,9400,9540,,,,,0,,-1,-1,0
water_mill,unit,water_mill,6720,9760,,,,,0,,-1,90,1
well,unit,well,8600.3,9314.3,,,,,0,,-1,-1,0
yard_01,unit,old_house,8574.7,9350.8,,,,,0,,-1,-1,0
yard_02,unit,old_house,8631.8,9354.8,,,,,0,,-1,-1,0
yard_03,unit,old_house,8688.4,9359.2,,,,,0,,-1,-1,0
yard_04,unit,old_house,8744.8,9363.8,,,,,0,,-1,-1,0
yard_05,unit,old_house,8801.1,9368.8,,,,,0,,-1,-1,0
yard_06,unit,old_house,8857.9,9368.1,,,,,0,,-1,-1,0
yard_07,unit,old_house,8944.1,9361.9,,,,,0,,-1,-1,0
yard_08,unit,old_house,9002.7,9357.2,,,,,0,,-1,-1,0
yard_09,unit,old_house,9061.9,9352,,,,,0,,-1,-1,0
yard_10,unit,old_house,9121.5,9348.9,,,,,0,,-1,-1,0
yard_11,unit,old_house,9181.2,9353.1,,,,,0,,-1,-1,0
yard_12,unit,old_house,8578.1,9289.4,,,,,0,,-1,-1,0
yard_13,unit,old_house,8668.1,9297.5,,,,,0,,-1,-1,0
yard_14,unit,old_house,8727.8,9302.2,,,,,0,,-1,-1,0
yard_15,unit,old_house,8787.1,9306.5,,,,,0,,-1,-1,0
yard_16,unit,old_house,8845.9,9306.6,,,,,0,,-1,-1,0
yard_17,unit,old_house,8960.1,9294,,,,,0,,-1,-1,0
yard_18,unit,old_house,9016.6,9288.4,,,,,0,,-1,-1,0
yard_19,unit,old_house,9072.9,9283,,,,,0,,-1,-1,0
yard_20,unit,old_house,9129.4,9281.8,,,,,0,,-1,-1,0
yard_21,unit,old_house,9186.4,9286.7,,,,,0,,-1,-1,0
field_reserve,reserve_field,,8960,8905,3,,,,1,,-1,-1,0
cemetery,unit,cemetery,8120,10480,,,,,0,,50,50,0
meadow_06,meadow,,9626.2,8309.3,20,,,,0,upland,-1,-1,0
meadow_07,meadow,,8626.2,7759.3,20,,,,0,upland,-1,-1,0
meadow_08,meadow,,8776.2,11080,20,,,,0,upland,-1,-1,0
meadow_09,meadow,,7676.2,8009.3,20,,,,0,upland,-1,-1,0
meadow_10,meadow,,6426.2,9259.3,20,,,,0,floodplain,-1,-1,0
silage_trench,unit,silage_trench,7620,8830,,,,,0,,-1,-1,0
trunk_road,road,,7575.46,8275.44,432.964,,,,0,,-1,35,0
road_village_spur,road,,7520.9,9061.4,0.245,,,,0,,-1,55,0
road_village_street,road,,8561.47,9301.41,12.8962,,,,0,,-1,65,0
road_village_lane_e,road,,8901.67,9330,0.07,,,,0,,-1,50,0
road_village_lane_w,road,,8543.67,9330,0.07,,,,0,,-1,50,0
road_cemetery,road,,8119.65,10352.6,0.0042,,,,0,,-1,15,0
road_hayfield,road,,6304.54,8766.43,70.5948,,,,0,,-1,15,0
ford_track,road,,7608.6,10048.2,2.0605,,,,0,,-1,60,0
road_artel,road,,8455.33,10295.8,5.3175,,,,0,,-1,15,0
road_north_forest,road,,6483.33,9975,11.4,,,,0,,-1,15,0
road_east,road,,9997.43,7256.34,1.278,,,,0,,-1,45,0
road_west,road,,3780.96,2024.15,9.0834,,,,0,,-1,45,0
road_lesnoy_spur,road,,11183.3,7730,0.675,,,,0,,-1,15,0
road_resort_spur,road,,9583.33,7576.67,0.35,,,,0,,-1,10,0
road_new_village,road,,9176.55,9011,1.7322,,,,0,,-1,10,0
road_bridge_village,road,,8131.68,9599.75,0.5829,,,,0,,-1,55,0
count_lodge,unit,count_lodge,8117,10640,,,,,0,,-1,60,1
