# generated from db/design.db — do not edit by hand
# where timber can be taken (design/economy/timber.md §8a), baked by tools/map.py stands from the grove, forest, biome and shelterbelt contours of db/map.db; tools/map.py check fails while the bake is stale
# kind grove and shelterbelt: stock = area_ha x timber_grove_stock_m3_per_ha / timber_shelterbelt_stock_m3_per_ha, felled to nothing, and the cleared land is free land (an orchard may go on it). kind forest_old: only the yearly flow of old trunks, area_ha x timber_forest_old_m3_per_ha_year, logs times timber_old_log_share_factor; the living massif is untouchable
# x_m, y_m: the loading point — the stand's ground nearest a road, metres from the south-west corner; walk and haul are measured to it
# log_share: the share of the stock that is logs, the rest firewood. Derived here from the biome's species and their log_yield against timber_log_share_* in world_params.csv; a stand with no biome is 'part'. The map stores the biome, never the number
# a long grove is cut into pieces of about 500 m and a shelterbelt into lengths of about 1 km, so that one loading point does not lie about the haul
key,kind,source_key,x_m,y_m,area_ha,log_share
forest_east_old_11_4,forest_old,forest_east,11650,4950,25,0.33
forest_east_old_11_5,forest_old,forest_east,11550,5950,37,0.33
forest_east_old_11_6,forest_old,forest_east,11650,6950,35,0.33
forest_east_old_11_7,forest_old,forest_east,11950,7450,32,0.33
forest_east_old_11_8,forest_old,forest_east,11750,8150,21,0.33
forest_hill_old_10_0,forest_old,forest_hill,10050,250,47,0.33
forest_hill_old_8_0,forest_old,forest_hill,8550,150,23,0.33
forest_hill_old_9_0,forest_old,forest_hill,9050,250,69,0.33
forest_north_old_0_4,forest_old,forest_north,50,4750,6,0.5125
forest_north_old_0_5,forest_old,forest_north,50,5050,19,0.5125
forest_north_old_1_10,forest_old,forest_north,1950,10050,20,0.5125
forest_north_old_1_6,forest_old,forest_north,1950,6950,35,0.33
forest_north_old_1_7,forest_old,forest_north,1950,7650,79,0.5125
forest_north_old_1_8,forest_old,forest_north,1950,8050,67,0.5125
forest_north_old_1_9,forest_old,forest_north,1950,9050,34,0.5125
forest_north_old_2_10,forest_old,forest_north,2950,10050,100,0.5125
forest_north_old_2_11,forest_old,forest_north,2950,11050,75,0.5125
forest_north_old_2_6,forest_old,forest_north,2250,6950,4,0.33
