# generated from db/design.db — do not edit by hand
# what one level costs in materials, expanded per level and edited there: the build class is a template, this is the data
# amounts are in the resource's own unit — brick in pieces, cement in tonnes, boards in cubic metres
# equipment and spare parts are ordinary material rows: without them a mechanised unit is not built
unit,level,resource,amount
slaughterhouse,1,straw,4
slaughterhouse,1,log,60
slaughterhouse,1,board,8
slaughterhouse,1,stone,5
slaughterhouse,1,clay,3
slaughterhouse,1,glass,6
food_yard,1,straw,4
food_yard,1,log,60
food_yard,1,board,8
food_yard,1,stone,5
food_yard,1,clay,3
food_yard,1,glass,6
granary,1,straw,4
granary,1,log,60
granary,1,board,8
granary,1,stone,5
granary,1,clay,3
granary,1,glass,6
granary,2,straw,2
granary,2,log,30
granary,2,board,6
granary,2,glass,4
food_store,1,straw,4
food_store,1,log,60
food_store,1,board,8
food_store,1,stone,5
food_store,1,clay,3
food_store,1,glass,6
icehouse,1,straw,4
icehouse,1,log,60
icehouse,1,board,8
icehouse,1,stone,5
icehouse,1,clay,3
icehouse,1,glass,6
icehouse,2,board,8
icehouse,2,cement,2
icehouse,2,steel,3
icehouse,2,spare_part,5
icehouse,2,industrial_equipment,2
bakery,1,straw,4
bakery,1,log,60
bakery,1,board,8
bakery,1,stone,5
bakery,1,clay,3
bakery,1,glass,6
bakery,2,board,8
bakery,2,cement,2
bakery,2,steel,3
bakery,2,spare_part,5
bakery,2,industrial_equipment,2
smokehouse,1,straw,4
smokehouse,1,log,60
smokehouse,1,board,8
smokehouse,1,stone,5
smokehouse,1,clay,3
smokehouse,1,glass,6
sausage_shop,1,board,15
sausage_shop,1,sand,12
sausage_shop,1,brick,5000
sausage_shop,1,roofing,15
sausage_shop,1,glass,25
sausage_shop,1,cement,5
sausage_shop,1,insulation,8
sausage_shop,1,spare_part,6
sausage_shop,1,industrial_equipment,1
elevator,1,board,40
elevator,1,stone,30
elevator,1,sand,55
elevator,1,brick,22000
elevator,1,roofing,60
elevator,1,glass,100
elevator,1,cement,20
elevator,1,steel,6
elevator,1,insulation,30
elevator,1,spare_part,15
elevator,1,industrial_equipment,2
elevator,2,board,12
elevator,2,sand,15
elevator,2,brick,6000
elevator,2,roofing,20
elevator,2,glass,25
elevator,2,cement,5
elevator,2,spare_part,6
elevator,2,industrial_equipment,2
elevator,3,board,20
elevator,3,sand,45
elevator,3,cement,18
elevator,3,steel,6
elevator,3,reinforced_concrete,200
elevator,3,spare_part,14
elevator,3,industrial_equipment,2
elevator,4,board,20
elevator,4,sand,45
elevator,4,cement,18
elevator,4,steel,6
elevator,4,reinforced_concrete,200
elevator,4,spare_part,14
elevator,4,industrial_equipment,2
build_yard,1,straw,2
build_yard,1,log,25
build_yard,2,board,25
build_yard,2,stone,20
build_yard,2,sand,35
build_yard,2,brick,14000
build_yard,2,roofing,40
build_yard,2,glass,60
build_yard,2,cement,12
build_yard,2,steel,3
build_yard,2,insulation,20
build_yard,2,spare_part,12
dryer,1,board,15
dryer,1,sand,12
dryer,1,brick,5000
dryer,1,roofing,15
dryer,1,glass,25
dryer,1,cement,5
dryer,1,insulation,8
dryer,1,spare_part,6
utility_yard,1,straw,4
utility_yard,1,log,60
utility_yard,1,board,8
utility_yard,1,stone,5
utility_yard,1,clay,3
utility_yard,1,glass,6
goods_store,1,straw,4
goods_store,1,log,60
goods_store,1,board,8
goods_store,1,stone,5
goods_store,1,clay,3
goods_store,1,glass,6
workshops,1,straw,4
workshops,1,log,60
workshops,1,board,8
workshops,1,stone,5
workshops,1,clay,3
workshops,1,glass,6
sawmill,1,board,5
sawmill,1,steel,1
sawmill,2,board,8
sawmill,2,cement,2
sawmill,2,steel,3
sawmill,2,spare_part,5
sawmill,2,industrial_equipment,2
fuel_point,1,board,5
fuel_point,1,steel,1
crafts_yard,1,straw,4
crafts_yard,1,log,60
crafts_yard,1,board,8
crafts_yard,1,stone,5
crafts_yard,1,clay,3
crafts_yard,1,glass,6
crafts_yard,2,straw,8
crafts_yard,2,log,130
crafts_yard,2,board,20
crafts_yard,2,stone,12
crafts_yard,2,clay,6
crafts_yard,2,glass,16
crafts_yard,2,spare_part,5
crafts_yard,3,board,25
crafts_yard,3,stone,20
crafts_yard,3,sand,35
crafts_yard,3,brick,14000
crafts_yard,3,roofing,40
crafts_yard,3,glass,60
crafts_yard,3,cement,12
crafts_yard,3,steel,3
crafts_yard,3,insulation,20
crafts_yard,3,spare_part,12
crafts_yard,3,industrial_equipment,1
weaving_shop,1,straw,4
weaving_shop,1,log,60
weaving_shop,1,board,8
weaving_shop,1,stone,5
weaving_shop,1,clay,3
weaving_shop,1,glass,6
sewing_shop,1,straw,4
sewing_shop,1,log,60
sewing_shop,1,board,8
sewing_shop,1,stone,5
sewing_shop,1,clay,3
sewing_shop,1,glass,6
shoemaking_shop,1,straw,4
shoemaking_shop,1,log,60
shoemaking_shop,1,board,8
shoemaking_shop,1,stone,5
shoemaking_shop,1,clay,3
shoemaking_shop,1,glass,6
furrier_shop,1,board,25
furrier_shop,1,stone,20
furrier_shop,1,sand,35
furrier_shop,1,brick,14000
furrier_shop,1,roofing,40
furrier_shop,1,glass,60
furrier_shop,1,cement,12
furrier_shop,1,steel,3
furrier_shop,1,insulation,20
furrier_shop,1,spare_part,12
dye_house,1,board,15
dye_house,1,sand,12
dye_house,1,brick,5000
dye_house,1,roofing,15
dye_house,1,glass,25
dye_house,1,cement,5
dye_house,1,insulation,8
dye_house,1,spare_part,6
dye_house,1,industrial_equipment,1
tannery,1,straw,2
tannery,1,log,25
garment_factory,1,board,25
garment_factory,1,stone,20
garment_factory,1,sand,35
garment_factory,1,brick,14000
garment_factory,1,roofing,40
garment_factory,1,glass,60
garment_factory,1,cement,12
garment_factory,1,steel,3
garment_factory,1,insulation,20
garment_factory,1,spare_part,12
garment_factory,1,industrial_equipment,1
shoe_factory,1,board,25
shoe_factory,1,stone,20
shoe_factory,1,sand,35
shoe_factory,1,brick,14000
shoe_factory,1,roofing,40
shoe_factory,1,glass,60
shoe_factory,1,cement,12
shoe_factory,1,steel,3
shoe_factory,1,insulation,20
shoe_factory,1,spare_part,12
shoe_factory,1,industrial_equipment,1
winery,1,board,15
winery,1,sand,12
winery,1,brick,5000
winery,1,roofing,15
winery,1,glass,25
winery,1,cement,5
winery,1,insulation,8
winery,1,spare_part,6
winery,1,industrial_equipment,1
brewery,1,board,15
brewery,1,sand,12
brewery,1,brick,5000
brewery,1,roofing,15
brewery,1,glass,25
brewery,1,cement,5
brewery,1,insulation,8
brewery,1,spare_part,6
brewery,1,industrial_equipment,1
greenhouse,1,board,25
greenhouse,1,stone,20
greenhouse,1,sand,35
greenhouse,1,brick,14000
greenhouse,1,roofing,40
greenhouse,1,glass,60
greenhouse,1,cement,12
greenhouse,1,steel,3
greenhouse,1,insulation,20
greenhouse,1,spare_part,12
fishery,1,board,5
fishery,1,steel,1
fishery,2,board,8
fishery,2,cement,2
fishery,2,steel,3
fishery,2,spare_part,5
fishery,2,industrial_equipment,2
silage_trench,2,stone,10
silage_trench,2,sand,20
silage_trench,2,cement,6
hunting_lodge,1,straw,4
hunting_lodge,1,log,60
silage_tower,1,board,25
hunting_lodge,1,board,8
silage_tower,1,stone,20
hunting_lodge,1,stone,5
hunting_lodge,1,clay,3
silage_tower,1,sand,35
silage_tower,1,brick,14000
silage_tower,1,roofing,40
silage_tower,1,glass,60
hunting_lodge,1,glass,6
silage_tower,1,cement,12
silage_tower,1,steel,3
silage_tower,1,insulation,20
silage_tower,1,spare_part,12
cattle_yard,1,straw,2
cattle_yard,1,log,25
cattle_yard,2,board,25
cattle_yard,2,stone,20
cattle_yard,2,sand,35
cattle_yard,2,brick,14000
cattle_yard,2,roofing,40
cattle_yard,2,glass,60
cattle_yard,2,cement,12
cattle_yard,2,steel,3
cattle_yard,2,insulation,20
cattle_yard,2,spare_part,12
cattle_yard,3,board,40
cattle_yard,3,stone,30
cattle_yard,3,sand,55
cattle_yard,3,brick,22000
cattle_yard,3,roofing,60
cattle_yard,3,glass,100
cattle_yard,3,cement,20
cattle_yard,3,steel,6
cattle_yard,3,insulation,30
cattle_yard,3,spare_part,15
barn,1,straw,4
barn,1,log,60
barn,1,board,8
barn,1,stone,5
barn,1,clay,3
barn,1,glass,6
chicken_farm,1,straw,3
chicken_farm,1,log,35
chicken_farm,1,board,4
chicken_farm,1,clay,2
duck_farm,1,straw,3
duck_farm,1,log,35
duck_farm,1,board,4
duck_farm,1,clay,2
fur_farm,1,board,25
fur_farm,1,stone,20
fur_farm,1,sand,35
fur_farm,1,brick,14000
fur_farm,1,roofing,40
fur_farm,1,glass,60
fur_farm,1,cement,12
fur_farm,1,steel,3
fur_farm,1,insulation,20
fur_farm,1,spare_part,12
school,1,straw,8
school,1,log,130
school,1,board,20
school,1,stone,12
school,1,clay,6
school,1,glass,16
