# generated from db/design.db — do not edit by hand
# the ladder: an upgrade IS the next level's build, with its own labour and its own materials
# labor_days are ТРУДОДНИ — the same unit as pay (labor-payment §2), not a duration: how long a build takes follows from the brigade
# build_class is the template the recipe was expanded from; it is informational, the recipe itself is in unit_level_cost.csv
# max_crew: how many builders fit on the site at once. It belongs to the CLASS — what limits the crew is the size of the thing being built — and is resolved here the same way labor_days is. Empty where nothing is built (construction design §8)
# a level with no class and no labour is not built by the player
# wear_years_*: years from new to fully worn on THIS step, resolved from its build class the same way max_crew is. in_use is the SHORTER of the two: work consumes a building and standing still preserves it (unit rules §15). The unit's wear_factor multiplies the DAILY SHARE, not the years: a faster pace is a SHORTER life, so a byre at 1.6 wears out in 1/1.6 of its class term
# wear_factor here is the STEP's own multiplier, and it multiplies the unit's: pace = unit.wear_factor * level.wear_factor. Both point the same way -- higher is faster is shorter-lived -- so the product needs no caveat. 1.0 is «this step changes nothing», which is why it is written out rather than left empty: an empty cell in a column of multipliers reads as zero to a careless parser, and zero would mean a building that never wears
unit,level,era,labor_days,build_class,max_crew,storage_capacity_t,livestock_capacity_head,wear_years_idle,wear_years_in_use,wear_factor
threshing_floor,1,1,30,earthwork,8,,,60,40,1
slaughterhouse,1,1,120,wood_small,8,,,50,30,1.1
food_yard,1,1,120,wood_small,8,,,50,30,1
granary,1,1,120,wood_small,8,150,,50,30,1.1
granary,2,1,70,wood_small_ext,6,300,,50,30,1
food_store,1,1,120,wood_small,8,60,,50,30,1.1
icehouse,1,1,120,wood_small,8,10,,50,30,1
icehouse,2,2,150,equipment,4,30,,35,15,1
bakery,1,1,120,wood_small,8,,,50,30,1.1
bakery,2,2,150,equipment,4,,,35,15,1
smokehouse,1,1,120,wood_small,8,,,50,30,1.1
sausage_shop,1,2,300,brick_small,10,,,80,55,1
elevator,1,2,900,brick_large,20,800,,100,65,1
elevator,2,2,300,brick_mid_ext,12,1200,,90,60,1
elevator,3,3,700,concrete_ext,16,1800,,120,80,1
elevator,4,3,700,concrete_ext,16,2500,,120,80,1
log_pile,1,1,30,earthwork,8,,,60,40,1
stone_pile,1,1,30,earthwork,8,,,60,40,1
clay_pile,1,1,30,earthwork,8,,,60,40,1
build_yard,1,1,40,shelter,5,,,30,18,1
build_yard,2,2,600,brick_mid,16,,,90,60,1
manure_pile,1,1,30,earthwork,8,,,60,40,1
dryer,1,2,300,brick_small,10,,,80,55,1
water_mill,1,1,,,,,,,,1
utility_yard,1,1,120,wood_small,8,,,50,30,1
goods_store,1,1,120,wood_small,8,80,,50,30,1.1
workshops,1,1,120,wood_small,8,,,50,30,1.1
sawmill,1,1,60,gear,4,,,30,14,1
sawmill,2,2,150,equipment,4,,,35,15,1
firewood_yard,1,1,30,earthwork,8,,,60,40,1
fuel_point,1,2,60,gear,4,5,,30,14,1
crafts_yard,1,1,120,wood_small,8,,,50,30,1
crafts_yard,2,2,250,wood_large,12,,,55,32,1
crafts_yard,3,3,600,brick_mid,16,,,90,60,1
weaving_shop,1,1,120,wood_small,8,,,50,30,1.1
sewing_shop,1,1,120,wood_small,8,,,50,30,1.1
shoemaking_shop,1,1,120,wood_small,8,,,50,30,1.1
furrier_shop,1,3,600,brick_mid,16,,,90,60,1
dye_house,1,2,300,brick_small,10,,,80,55,1
tannery,1,1,40,shelter,5,,,30,18,1
garment_factory,1,3,600,brick_mid,16,,,90,60,1
shoe_factory,1,3,600,brick_mid,16,,,90,60,1
winery,1,2,300,brick_small,10,,,80,55,1
brewery,1,2,300,brick_small,10,,,80,55,1
greenhouse,1,3,600,brick_mid,16,,,90,60,1
orchard,1,1,0,plot,,,,,,1
fishery,1,2,60,gear,4,,,30,14,1
fishery,2,3,150,equipment,4,,,35,15,1
apiary,1,1,0,plot,,,,,,1
silage_trench,1,1,30,earthwork,8,,,60,40,1
hop_yard,1,2,0,plot,,,,,,1
silage_trench,2,2,120,concrete_slab,10,,,90,60,1
silage_tower,1,3,600,brick_mid,16,200,,90,60,1
hunting_lodge,1,1,120,wood_small,8,,,50,30,1.1
hay_stack,1,1,30,earthwork,8,,,60,40,1
cattle_yard,1,1,40,shelter,5,,24,30,18,1
cattle_yard,2,2,600,brick_mid,16,,72,90,60,1
cattle_yard,3,3,900,brick_large,20,,144,100,65,1
barn,1,1,120,wood_small,8,,50,50,30,1.1
chicken_farm,1,1,70,wood_tiny,5,,200,45,25,1.1
duck_farm,1,1,70,wood_tiny,5,,150,45,25,1.1
fur_farm,1,3,600,brick_mid,16,,200,90,60,1
summer_camp,1,1,30,earthwork,8,,,60,40,1
school,1,1,250,wood_large,12,,,55,32,1.1
school,2,2,600,brick_mid,16,,,90,60,1
school,3,3,300,brick_mid_ext,12,,,90,60,1
boarding_wing,1,2,300,brick_small,10,,,80,55,1
boarding_wing,2,2,150,brick_small_ext,8,,,80,55,1
culture_house,1,1,120,wood_small,8,,,50,30,1.1
culture_house,2,2,600,brick_mid,16,,,90,60,1
culture_house,3,3,900,brick_large,20,,,100,65,1
feldsher_post,1,2,300,brick_small,10,,,80,55,1
