# generated from db/design.db — do not edit by hand
# who a unit has room for. An empty level means every step of the ladder; an empty slots means no ceiling — the refusal kNoVacancy never fires there
# a unit absent from this table carries no post at all, and appointing to it is refused by rule rather than by vacancy
unit,profession,level,slots
slaughterhouse,labourer,,
slaughterhouse,slaughterman,,
food_yard,storekeeper,,1
food_yard,food_master,,
food_yard,watchman,,
elevator,storekeeper,,1
build_yard,labourer,,
build_yard,construction_technician,,1
water_mill,miller,,1
utility_yard,farm_craftsman,,
utility_yard,storekeeper,,1
utility_yard,watchman,,
crafts_yard,crafts_master,,
crafts_yard,storekeeper,,1
crafts_yard,watchman,,
tannery,crafts_master,,
garment_factory,seamstress,,
shoe_factory,shoemaker,,
winery,labourer,,
brewery,labourer,,
orchard,labourer,,
orchard,gardener,,
orchard,watchman,,
fishery,artel_fisher,,
apiary,beekeeper,,1
hunting_lodge,hunter,,
cattle_yard,stockman,,
cattle_yard,milkmaid,,
cattle_yard,herder,,
cattle_yard,farm_manager,,1
barn,stockman,,
barn,herder,,
chicken_farm,poultry_maid,,
duck_farm,poultry_maid,,
fur_farm,labourer,,
fur_farm,fur_breeder,,
school,primary_teacher,,
school,secondary_teacher,,
school,labour_teacher,,
school,pe_teacher,2,
boarding_wing,nursery_teacher,,
culture_house,club_manager,2,1
culture_house,circle_leader,2,
culture_house,librarian,,1
culture_house,projectionist,2,1
feldsher_post,feldsher,,1
feldsher_post,midwife,,1
hospital,midwife,,1
hospital,nurse,,
hospital,doctor,,1
kindergarten,nursery_teacher,,
selpo,shopkeeper,,
canteen,cook,,
canteen,cook_assistant,,
buffet,barmaid,,1
restaurant,waiter,,
small_canteen,cook,,1
beer_stall,stall_seller,,1
road_canteen,cook,,
road_canteen,cook_assistant,,
road_canteen,barmaid,,1
bathhouse,bathhouse_keeper,,1
stadium,sports_instructor,3,1
pioneer_camp,pioneer_leader,,
pioneer_camp,nurse,,1
rest_house,cook,,
rest_house,maid,,
rest_house,bathhouse_keeper,,1
registry_office,registry_clerk,,1
agricultural_college,college_lecturer,,
horse_yard,groom,,1
horse_yard,carter,,
mts,driver,,
mts,mechanic,,
mts,mts_dispatcher,,1
fire_post,firefighter,,3
fire_post,fire_instructor,,1
farm_office,vet_assistant,,1
farm_office,timekeeper,,1
farm_office,clerk_accountant,,1
farm_office,accountant,,1
farm_office,economist,,1
farm_office,messenger,,1
village_council,council_secretary,,1
