# generated from db/design.db — do not edit by hand
# capacities and the level ladder live in unit_levels.csv and ONLY there: this file names what belongs to the TYPE, and a number that has a rung is not one of those things
# parent: the unit this one is a module of — built on the parent's plot and only while the parent stands sound; empty for a free-standing unit
# player_built=0: it stands or appears on its own, the player never builds it
# needs_road_access=1: the build does not start until a road comes within world_params road_access_m of the site, because the materials do not arrive (units/rules §12). The eleven zeroes are eight kinds §12 names and three shapes that carry their own way: a placement that IS a route, and a thing hung on someone else's wall. A path does not count as a road — a cart does not pass
# gate: what opens the type — era (the default), event, quest, unit, or start; gate_ref names the event, quest or unit and is empty for era and start (design/core/unlocks.md)
# a refusal to build a closed type carries the gate and its ref: the presentation turns them into a sentence, the core carries no text
# plot_radius_m: the circle the unit occupies, metres, taken from the build class of its LAST step so the plot holds every future expansion (unit rules §9). Two units may not be closer than the sum of their radii — the refusal is the point of the number
# has_heating: the unit is heated, so it burns firewood every day below the stove threshold and it has a privy and a cesspit — one field, two consumers, because the heating design says the two lists are the same list (heating design §1)
# how MUCH it burns is not a column: the norm scales with the building's floor area, and that comes from the unit geometry (unit_parts.csv, kind=building). A number derivable from data already exported is not exported twice
# an empty radius means there is no fixed plot: the player draws the outline himself (orchard, apiary, heaps, trenches) or the thing has no footprint at all (a lamp, a line, a board)
# has_plot tells those two apart: 0 is no plot BY DESIGN, 1 is a plot whose size the outline gives, empty is not written down yet
# footprint_r_m is the BODY, not the plot, and they are different questions: a plot is a boundary nothing else may be placed inside and it drags an approach and a fence behind it; a footprint only means no two of these may overlap. A well has the second without the first, which is why has_plot could not answer for it -- its 0 was read as «no size» and as «anywhere» at once
# placement_ref says WHERE a unit with no plot may stand, because a unit with one is placed by its plot and a unit without one had no rule at all. verge = the strip straight outside the 8 m roadbed, and NOT the 1 m shoulder, which is where people walk (roads design: the shoulder is shared space for everyone not on wheels). open = free ground, inside nobody's plot and off the roadbed. wall = on a building. route = the line IS its own placement, and then the footprint is empty by design
# has_plot=0 always comes with an empty radius, even where the build class has one: a road borrows the class as a COST template and occupies a line, not a circle
# for a unit whose capacity follows its outline the radius is a FLOOR: the drawn contour may be larger and the layer checks that one
# storage is tonnes, the unit the warehouse itself counts in
# capacity_by_plot=1: the player draws the outline and the capacity
# follows the area — there is no number to read (manure heap, silage
# trench, hay stack, log and stone piles, threshing floor)
# ground_relation: how the unit meets the ground. follows — the ground as it lies (yard, heap, trench, road). absorbed — the slope under the footprint is taken up by the BASE, piers of different heights, and below the threshold the earth is not touched at all. levelled — the earth really is levelled, and that is the POINT of the thing: you cannot winnow on a slope (terrain 11)
# has_wear=0: the thing does not age at all. NOT the same as has_building=0: a lean-to, a fence or a roof wears too, and the measure is whether it HOLDS anything — the cemetery fence holds a perimeter and is repaired, the fence round the machine park holds nobody and does not (unit rules §15)
# wear_factor: what this unit's own nature does to the period its build class gives it. Empty is 1.0. A cattle yard rots from damp and ammonia, a mill shakes itself apart (unit rules §15)
key,title,class,era,capacity_by_plot,player_built,gate,gate_ref,has_plot,plot_radius_m,footprint_r_m,placement_ref,ground_relation,has_wear,wear_factor,has_heating,stink,stink_when,one_family,parent,needs_road_access
threshing_floor,Ток,production,1,1,1,era,,1,25,,,levelled,1,,0,none,,0,,1
slaughterhouse,Бойня,production,1,0,1,era,,1,25,,,absorbed,1,,0,strong,working,0,,1
food_yard,Продуктовый двор,production,1,0,1,era,,1,45,,,absorbed,1,,0,none,,0,,1
granary,Амбар,production,1,0,1,era,,1,25,,,absorbed,1,,0,none,,0,food_yard,1
food_store,Продуктовый склад,production,1,0,1,era,,1,25,,,absorbed,1,,0,none,,0,food_yard,1
icehouse,Ледник,production,1,0,1,era,,1,25,,,absorbed,1,,0,none,,0,food_yard,1
bakery,Пекарня,production,1,0,1,era,,1,25,,,absorbed,1,,0,none,,0,food_yard,1
smokehouse,Коптильня,production,1,0,1,era,,1,25,,,absorbed,1,,0,weak,working,0,food_yard,1
sausage_shop,Колбасный цех,production,2,0,1,era,,1,30,,,absorbed,1,,0,none,,0,food_yard,1
elevator,Элеватор,production,2,0,1,era,,1,70,,,absorbed,1,,0,none,,0,,1
sauerkraut_shop,Квашня,production,1,0,1,era,,1,25,,,absorbed,1,,0,weak,working,0,food_yard,1
log_pile,Куча брёвен,production,1,1,1,era,,0,,3,open,follows,0,,0,none,,0,,0
stone_pile,Куча камня,production,1,1,1,era,,0,,3,open,follows,0,,0,none,,0,,1
clay_pile,Куча глины,production,1,1,1,era,,0,,3,open,follows,0,,0,none,,0,,1
build_yard,Строительный двор,production,1,1,1,era,,1,45,,,absorbed,1,,0,none,,0,,1
manure_pile,Навозная куча,production,1,1,1,era,,1,25,,,follows,0,,0,strong,always,0,,1
dryer,Сушилка,production,2,0,1,era,,1,30,,,absorbed,1,,0,none,,0,,1
water_mill,Водяная мельница,production,1,0,0,start,,1,20,,,absorbed,1,1.5,0,none,,0,,1
utility_yard,Хозяйственный двор,production,1,0,1,era,,1,35,,,absorbed,1,,0,none,,0,,1
goods_store,Товарный склад,production,1,0,1,era,,1,25,,,absorbed,1,,0,none,,0,utility_yard,1
workshops,Мастерские,production,1,0,1,era,,1,25,,,absorbed,1,,0,weak,working,0,utility_yard,1
sawmill,Лесопилка,production,1,0,1,era,,1,15,,,follows,1,1.4,0,none,,0,utility_yard,1
firewood_yard,Дровяной участок,production,1,1,1,era,,1,25,,,follows,0,,0,none,,0,utility_yard,1
fuel_point,Пункт заправки,production,2,0,1,era,,1,15,,,follows,0,,0,weak,always,0,utility_yard,1
crafts_yard,Промысловый двор,production,1,0,1,era,,1,45,,,absorbed,1,,1,none,,0,,1
weaving_shop,Ткацкая мастерская,production,1,0,1,era,,1,15,,,follows,0,,0,none,,0,crafts_yard,0
sewing_shop,Швейная мастерская,production,1,0,1,era,,1,15,,,follows,0,,0,none,,0,crafts_yard,0
shoemaking_shop,Сапожная мастерская,production,1,0,1,era,,1,15,,,follows,0,,0,none,,0,crafts_yard,0
furrier_shop,Скорняжная мастерская,production,3,0,1,era,,1,45,,,follows,0,,0,none,,0,crafts_yard,0
dye_house,Красильня,production,2,0,1,era,,1,30,,,absorbed,1,,0,weak,working,0,crafts_yard,1
tannery,Дубильня,production,1,0,1,era,,1,20,,,follows,1,,0,strong,working,0,,1
