# generated from db/design.db — do not edit by hand
# scalar constants of the world that are NOT weather, and that both sides of the seam need. Kept apart from weather_params.csv because that file's NAME is its contract and a file name is an address in this tree
# WHO READS EACH ROW is the third column and it is the contract, exactly as in weather_params.csv: a key declared for the core that the core does not know is an ERROR, not a default. `both` means both read it TODAY
# MONTHS ARE HUMAN 1..12, like every other month that crosses this seam
key,value,reader
leaf_fall_month,10,core
apiary_buzz_radius_m,60,layer
butterfly_density_meadow_m2,0.08,layer
butterfly_density_bed_m2,0.35,layer
yard_flower_from_month,5,layer
yard_flower_to_month,9,layer
fence_yard_height_m,1.46,layer
fence_low_height_m,0.7,layer
eaves_overhang_m,0.5,layer
eaves_span_fraction,0.2,layer
apron_width_m,0.7,layer
vehicle_wall_clearance_m,1.2,layer
dragonfly_density_hole_m2,0.1,layer
dragonfly_density_slow_m2,0.03,layer
body_height_male_m,1.66,both
body_height_female_m,1.58,both
body_height_infant_frac,0.45,both
body_height_sigma_frac,0.037,both
body_height_clamp_sigma,2.5,both
body_height_preschool_frac,0.65,both
body_build_sigma_frac,0.07,both
body_height_school_junior_frac,0.78,both
body_height_school_senior_frac,0.93,both
meadow_flower_density_m2,3,layer
age_preschool_from_years,3,both
build_max_slope,0.25,layer
age_school_junior_from_years,7,both
fence_poles_height_m,0.95,layer
age_school_senior_from_years,11,both
age_adult_from_years,16,both
timber_log_m3,0.25,core
timber_grove_stock_m3_per_ha,30,core
timber_shelterbelt_stock_m3_per_ha,40,core
timber_forest_old_m3_per_ha_year,0.05,core
timber_old_log_share_factor,0.5,core
timber_fallen_vanish_years,2,core
timber_felling_days_per_m3,0.05,core
timber_tools_per_feller,1,core
timber_board_yield,0.55,core
timber_sawing_days_per_m3,1,core
sawmill_sawyers_max,4,core
limit_base_points_lagging,350,core
limit_base_points_average,320,core
limit_base_points_strong,285,core
limit_base_points_leading,250,core
limit_plan_met_points,150,core
limit_overfulfil_points_per_percent,10,core
limit_overfulfil_points_max,200,core
limit_delivery_days,2,core
limit_delivery_delay_days_max,2,core
teacher_pupils_per_teacher,30,core
village_end_population,40,host
fire_well_radius_m,150,host
extraction_stock_t_per_ha_clay,8000,core
extraction_stock_t_per_ha_stone,3000,core
extraction_stock_t_per_ha_sand,8000,core
extraction_days_per_t_clay,0.05,core
extraction_days_per_t_stone,0.25,core
extraction_days_per_t_sand,0.03,core
extraction_tools_per_worker,1,core
old_house_near_collapse_wear,0.9,host
store_leak_complaint_kg,100,core
district_visit_karasev_month,6,core
district_visit_polushkina_month,12,core
district_visit_notice_days,2,core
membership_autumn_wave_month,9,core
membership_spring_wave_month,3,core
pioneer_age_from_years,10,core
pioneer_age_to_years,14,core
pioneer_autumn_grade_min,4,core
pioneer_spring_grade_min,3,core
komsomol_age_from_years,14,core
komsomol_age_to_years,26,core
komsomol_ideology_min,55,core
komsomol_pioneer_ideology_min,45,core
komsomol_mood_min,40,core
party_age_from_years,18,core
party_ideology_min,65,core
party_mood_min,50,core
party_seniority_age_years,25,core
party_early_ideology_min,80,core
ideology_birth_spread,15,core
ideology_lock_age_years,16,core
ideology_school_year_gain,2,core
ideology_pioneer_year_gain,2,core
ideology_hungry_year_loss,3,core
ideology_hungry_satiety_below,50,core
ideology_status_gain_pioneer,0.5,core
ideology_status_gain_komsomol,1,core
ideology_status_gain_party,1.5,core
ideology_status_cap,60,core
specialist_komsomol_age_max_years,26,core
night_distillers_max,2,core
night_fisher_age_from_years,18,core
night_fisher_age_to_years,50,core
night_hunter_age_from_years,25,core
night_hunter_age_to_years,60,core
night_moon_day_in_month,2,core
night_trade_hour_out,23,core
night_trade_hour_back,3,core
night_fishing_min_mean_celsius,18,core
night_hunt_reach_min_m,800,core
night_hunt_reach_max_m,2500,core
night_fishing_catch_kg,3,core
night_hunt_catch_kg,5,core
night_hunt_success_chance,0.3,core
school_enroll_age_from_years,6.5,core
school_enroll_age_to_years,11,core
school_walk_radius_primary_m,1500,core
school_pupil_capacity_level_1,40,core
school_pupil_capacity_level_2,60,core
school_pupil_capacity_level_3,80,core
school_year_start_month,9,core
school_year_end_month,6,core
night_distiller_raw_kg,50,core
night_watchman_theft_cut,0.6,core
alcohol_adult_from_years,16,core
alcohol_gain_with_distiller,2,core
alcohol_gain_winter_idle,1,core
alcohol_gain_low_satisfaction,1,core
alcohol_low_satisfaction_below,40,core
alcohol_loss_employed,1,core
alcohol_employed_days_min,3,core
alcohol_loss_married,1,core
alcohol_women_factor,0.25,core
alcohol_epoch1_cap,60,core
mts_column_ha_limit,70,core
mts_column_ha_per_work_day,10,core
mts_column_spring_from_month,3,core
mts_column_spring_to_month,5,core
mts_column_autumn_from_month,8,core
mts_column_autumn_to_month,10,core
field_camp_field_reach_m,1000,core
billet_heads_per_yard,2,core
billet_yield_factor,0.6,core
road_access_m,10,core
livestock_handover_newborn,0.15,core
livestock_handover_young,0.35,core
livestock_handover_adult,0.55,core
livestock_handover_old,0.25,core
